area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area001,池田町,2025-09-01,1924,814,225,11,136,0,0,0,7
area001,池田町,2025-09-02,1970,685,228,16,90,0,0,0,7
area001,池田町,2025-09-03,1902,722,251,9,92,0,0,0,7
area001,池田町,2025-09-04,1676,688,222,1,94,0,0,0,7
area001,池田町,2025-09-05,1850,756,246,11,95,0,0,0,7
area001,池田町,2025-09-06,2649,1203,488,19,160,0,0,0,7
area001,池田町,2025-09-07,2748,1229,540,23,193,0,0,0,7
area001,池田町,2025-09-08,1789,704,188,8,114,0,0,0,7
area001,池田町,2025-09-09,1857,682,173,7,92,0,0,0,7
area001,池田町,2025-09-10,1694,689,189,7,79,0,0,0,7
area001,池田町,2025-09-11,1615,710,197,15,103,0,0,0,7
area001,池田町,2025-09-12,1851,917,222,14,98,0,0,0,7
area001,池田町,2025-09-13,2890,1231,387,12,178,0,0,0,7
area001,池田町,2025-09-14,3002,1519,437,27,144,0,0,0,7
area001,池田町,2025-09-15,2728,1459,502,16,132,0,0,0,7
area001,池田町,2025-09-16,1690,821,219,12,77,0,0,0,7
area001,池田町,2025-09-17,1811,822,213,14,99,0,0,0,7
area001,池田町,2025-09-18,1578,750,131,1,65,0,0,0,7
area001,池田町,2025-09-19,1630,752,196,6,71,0,0,0,7
area001,池田町,2025-09-20,2338,946,333,22,108,0,0,0,7
area001,池田町,2025-09-21,2703,1148,522,15,160,0,0,0,7
area001,池田町,2025-09-22,2214,2014,301,13,153,0,0,0,7
area001,池田町,2025-09-23,2464,1110,415,9,160,0,0,0,7
area001,池田町,2025-09-24,1672,791,225,14,82,0,0,0,7
area001,池田町,2025-09-25,1540,597,169,9,57,0,0,0,7
area001,池田町,2025-09-26,1652,723,198,9,91,0,0,0,7
area001,池田町,2025-09-27,2425,1045,409,12,118,0,0,0,7
area001,池田町,2025-09-28,2647,1281,421,16,172,0,0,0,7
area001,池田町,2025-09-29,1682,797,167,7,87,0,0,0,7
area001,池田町,2025-09-30,1564,693,150,4,66,0,0,0,7
area001,池田町,2025-10-01,1535,737,159,4,84,0,0,0,7
area001,池田町,2025-10-02,1619,720,183,6,85,0,0,0,7
area001,池田町,2025-10-03,1702,832,164,15,95,0,0,0,7
area001,池田町,2025-10-04,2118,1011,230,24,97,0,0,0,7
area001,池田町,2025-10-05,2253,1056,238,8,121,0,0,0,7
area001,池田町,2025-10-06,1725,667,202,5,77,0,0,0,7
area001,池田町,2025-10-07,1882,828,231,7,84,0,0,0,7
area001,池田町,2025-10-08,1756,1023,233,6,99,0,0,0,7
area001,池田町,2025-10-09,1467,791,179,8,98,0,0,0,7
area001,池田町,2025-10-10,1440,869,263,2,98,0,0,0,7
area001,池田町,2025-10-11,2313,1149,383,14,119,0,0,0,7
area001,池田町,2025-10-12,2649,1486,573,22,183,0,0,0,7
area001,池田町,2025-10-13,2321,1412,441,14,143,0,0,0,7
area001,池田町,2025-10-14,1307,798,153,8,71,0,0,0,7
area001,池田町,2025-10-15,1339,670,187,5,85,0,0,0,7
area001,池田町,2025-10-16,1132,735,171,9,73,0,0,0,7
area001,池田町,2025-10-17,1377,738,254,13,105,0,0,0,7
area001,池田町,2025-10-18,1625,921,249,13,112,0,0,0,7
area001,池田町,2025-10-19,1771,911,288,9,140,0,0,0,7
area001,池田町,2025-10-20,1277,669,182,8,67,0,0,0,7
area001,池田町,2025-10-21,1093,616,182,2,79,0,0,0,7
area001,池田町,2025-10-22,1263,844,125,9,58,0,0,0,7
area001,池田町,2025-10-23,1477,783,180,4,70,0,0,0,7
area001,池田町,2025-10-24,1507,864,220,13,100,0,0,0,7
area001,池田町,2025-10-25,1941,1170,362,21,115,0,0,0,7
area001,池田町,2025-10-26,1994,1176,219,7,79,0,0,0,7
area001,池田町,2025-10-27,1472,852,138,6,68,0,0,0,7
area001,池田町,2025-10-28,1419,787,132,6,78,0,0,0,7
area001,池田町,2025-10-29,1571,885,179,11,59,0,0,0,7
area001,池田町,2025-10-30,1802,1579,201,17,75,0,0,0,7
area001,池田町,2025-10-31,1828,1156,139,3,60,0,0,0,7
area001,池田町,2025-11-01,2462,1163,302,26,106,0,0,0,7
area001,池田町,2025-11-02,2821,1376,469,25,137,0,0,0,7
area001,池田町,2025-11-03,2235,1032,244,22,117,0,0,0,7
area001,池田町,2025-11-04,1426,953,130,13,56,0,0,0,7
area001,池田町,2025-11-05,1622,931,178,11,78,0,0,0,7
area001,池田町,2025-11-06,1748,878,267,9,80,0,0,0,7
area001,池田町,2025-11-07,1689,870,205,13,84,0,0,0,7
area001,池田町,2025-11-08,2122,1128,365,8,84,0,0,0,7
area001,池田町,2025-11-09,2245,1146,208,16,98,0,0,0,7
area001,池田町,2025-11-10,1543,748,125,19,46,0,0,0,7
area001,池田町,2025-11-11,1488,685,168,12,62,0,0,0,7
area001,池田町,2025-11-12,1488,716,170,8,48,0,0,0,7
area001,池田町,2025-11-13,1418,699,179,9,51,0,0,0,7
area001,池田町,2025-11-14,1612,736,179,13,66,0,0,0,7
area001,池田町,2025-11-15,2230,935,330,19,93,0,0,0,7
area001,池田町,2025-11-16,2485,1085,374,10,131,0,0,0,7
area001,池田町,2025-11-17,1578,718,136,15,69,0,0,0,7
area001,池田町,2025-11-18,1363,738,103,4,47,0,0,0,7
area001,池田町,2025-11-19,1441,720,123,9,56,0,0,0,7
area001,池田町,2025-11-20,1559,908,164,15,53,0,0,0,7
area001,池田町,2025-11-21,1986,933,191,4,84,0,0,0,7
area001,池田町,2025-11-22,2873,1127,314,10,124,0,0,0,7
area001,池田町,2025-11-23,2781,1498,434,19,156,0,0,0,7
area001,池田町,2025-11-24,2018,905,313,10,95,0,0,0,7
area001,池田町,2025-11-25,1307,556,91,10,41,0,0,0,7
area001,池田町,2025-11-26,1156,516,84,2,33,0,0,0,7
area001,池田町,2025-11-27,1366,613,184,3,55,0,0,0,7
area001,池田町,2025-11-28,1258,556,153,12,50,0,0,0,7
area001,池田町,2025-11-29,1815,733,220,8,67,0,0,0,7
area001,池田町,2025-11-30,1826,750,316,11,72,0,0,0,7
area001,池田町,2025-12-01,1132,471,94,2,33,0,5,1,7
area001,池田町,2025-12-02,1020,472,64,5,37,0,5,1,7
area001,池田町,2025-12-03,975,442,60,2,32,0,0,0,7
area001,池田町,2025-12-04,1035,541,55,1,27,0,0,0,7
area001,池田町,2025-12-05,1089,671,82,4,38,0,0,0,7
area001,池田町,2025-12-06,1507,938,128,3,53,0,5,1,7
area001,池田町,2025-12-07,1766,1002,127,7,58,0,5,1,7
area001,池田町,2025-12-08,1097,634,58,9,41,0,0,0,7
area001,池田町,2025-12-09,1072,582,72,2,43,0,0,0,7
area001,池田町,2025-12-10,1038,510,80,3,37,0,3,1,7
area001,池田町,2025-12-11,1258,522,86,8,35,0,0,0,7
area001,池田町,2025-12-12,1037,498,48,9,24,0,5,1,7
area001,池田町,2025-12-13,1457,654,122,7,44,0,2,1,7
area001,池田町,2025-12-14,1457,742,92,6,50,0,0,0,7
area001,池田町,2025-12-15,1039,530,49,10,42,0,5,1,7
area001,池田町,2025-12-16,924,531,42,1,35,0,0,0,7
area001,池田町,2025-12-17,1000,526,70,7,43,0,0,0,7
area001,池田町,2025-12-18,991,487,78,4,32,0,3,1,7
area001,池田町,2025-12-19,998,551,80,5,34,0,0,0,7
area001,池田町,2025-12-20,1510,655,103,11,48,0,0,0,7
area001,池田町,2025-12-21,1365,663,92,4,44,0,5,1,7
area001,池田町,2025-12-22,964,474,57,12,38,0,0,0,7
area001,池田町,2025-12-23,908,508,68,8,37,0,0,0,7
area001,池田町,2025-12-24,963,446,80,7,39,0,5,1,7
area001,池田町,2025-12-25,1115,466,57,2,36,0,0,0,7
area001,池田町,2025-12-26,1224,508,56,6,34,0,0,0,7
area001,池田町,2025-12-27,1657,791,78,8,50,0,0,0,7
area001,池田町,2025-12-28,1869,1003,100,7,73,0,0,0,7
area001,池田町,2025-12-29,2006,1132,84,9,91,0,0,0,7
area001,池田町,2025-12-30,1891,957,107,7,61,0,0,0,7
area001,池田町,2025-12-31,1466,717,84,14,67,0,0,0,7
area001,池田町,2026-01-01,1602,746,58,6,68,0,0,0,7
area001,池田町,2026-01-02,1672,785,95,14,86,0,0,0,7
area001,池田町,2026-01-03,1531,796,117,10,74,0,0,0,7
area001,池田町,2026-01-04,1580,746,99,12,79,0,0,0,7
area001,池田町,2026-01-05,1256,563,68,14,35,0,0,0,7
area001,池田町,2026-01-06,1310,548,72,3,36,0,0,0,7
area001,池田町,2026-01-07,1362,617,62,7,39,0,0,0,7
area001,池田町,2026-01-08,1266,548,60,2,41,0,0,0,7
area001,池田町,2026-01-09,1222,577,92,10,42,0,0,0,7
