area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review5,review4,review3,review2,review1,location_count
area002,勝山市,2025-09-01,1388,635,285,7,108,8,3.9,8,4,1,2,0,1,4
area002,勝山市,2025-09-02,1320,589,260,5,122,14,3.8,6,2,2,1,1,0,4
area002,勝山市,2025-09-03,1348,571,221,13,133,22,4.8,8,6,2,0,0,0,4
area002,勝山市,2025-09-04,1278,545,250,6,91,26,4.8,4,3,1,0,0,0,4
area002,勝山市,2025-09-05,1276,644,246,11,68,30,4.8,4,3,1,0,0,0,4
area002,勝山市,2025-09-06,1801,734,390,11,135,37,4.3,7,5,1,0,0,1,4
area002,勝山市,2025-09-07,1997,824,412,7,126,46,4.7,9,6,3,0,0,0,4
area002,勝山市,2025-09-08,1389,625,289,15,89,54,4.5,8,5,2,1,0,0,4
area002,勝山市,2025-09-09,1402,583,226,13,97,62,4.4,8,4,3,1,0,0,4
area002,勝山市,2025-09-10,1224,419,212,5,86,67,4.8,5,4,1,0,0,0,4
area002,勝山市,2025-09-11,1279,513,252,6,81,69,4.5,2,1,1,0,0,0,4
area002,勝山市,2025-09-12,1352,573,292,9,112,75,4.7,6,4,2,0,0,0,4
area002,勝山市,2025-09-13,2095,821,434,16,150,85,4.6,10,6,4,0,0,0,4
area002,勝山市,2025-09-14,2744,1082,622,16,184,100,4.1,15,7,6,0,1,1,4
area002,勝山市,2025-09-15,2079,859,450,13,135,115,4.5,15,9,5,1,0,0,4
area002,勝山市,2025-09-16,1327,627,275,4,91,119,4.8,4,3,1,0,0,0,4
area002,勝山市,2025-09-17,1264,605,245,6,80,124,4.8,5,4,1,0,0,0,4
area002,勝山市,2025-09-18,1274,628,270,7,73,134,4.4,10,6,2,2,0,0,4
area002,勝山市,2025-09-19,1336,582,266,8,81,143,4.6,9,6,2,1,0,0,4
area002,勝山市,2025-09-20,1878,743,378,12,118,151,4.6,8,6,1,1,0,0,4
area002,勝山市,2025-09-21,2287,831,458,16,156,154,4.7,3,2,1,0,0,0,4
area002,勝山市,2025-09-22,1842,704,388,13,118,163,4.8,9,7,2,0,0,0,4
area002,勝山市,2025-09-23,2032,750,449,14,124,170,3.9,7,3,2,1,0,1,4
area002,勝山市,2025-09-24,1371,503,306,11,75,176,5,6,6,0,0,0,0,4
area002,勝山市,2025-09-25,1386,528,366,15,115,178,4.5,2,1,1,0,0,0,4
area002,勝山市,2025-09-26,1502,558,480,3,119,184,4.8,6,5,1,0,0,0,4
