area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review5,review4,review3,review2,review1,location_count
area003,大野市,2025-09-01,1322,1106,297,4,76,0,0,0,0,0,0,0,0,2
area003,大野市,2025-09-02,1233,994,293,0,44,3,3.7,3,1,0,2,0,0,2
area003,大野市,2025-09-03,1237,995,320,0,94,5,4.5,2,1,1,0,0,0,2
area003,大野市,2025-09-04,1170,870,289,2,64,7,4,2,1,0,1,0,0,2
area003,大野市,2025-09-05,1234,997,307,0,52,7,0,0,0,0,0,0,0,2
area003,大野市,2025-09-06,1697,893,483,8,90,8,4,1,0,1,0,0,0,2
area003,大野市,2025-09-07,1659,1063,500,16,80,8,0,0,0,0,0,0,0,2
area003,大野市,2025-09-08,1204,999,306,6,62,9,5,1,1,0,0,0,0,2
area003,大野市,2025-09-09,1504,1199,314,8,98,11,5,2,2,0,0,0,0,2
area003,大野市,2025-09-10,1258,1004,289,0,44,12,5,1,1,0,0,0,0,2
area003,大野市,2025-09-11,1395,976,312,10,72,12,0,0,0,0,0,0,0,2
area003,大野市,2025-09-12,1411,938,335,2,62,12,0,0,0,0,0,0,0,2
area003,大野市,2025-09-13,2066,1084,509,8,86,14,4,2,0,2,0,0,0,2
area003,大野市,2025-09-14,2257,1209,586,8,78,15,4,1,0,1,0,0,0,2
area003,大野市,2025-09-15,1698,1088,463,2,80,18,4.3,3,1,2,0,0,0,2
area003,大野市,2025-09-16,1207,1148,316,6,54,20,4,2,0,2,0,0,0,2
area003,大野市,2025-09-17,1081,860,319,2,48,20,0,0,0,0,0,0,0,2
area003,大野市,2025-09-18,1021,931,277,8,64,24,4.5,4,2,2,0,0,0,2
area003,大野市,2025-09-19,1343,1046,330,6,64,25,4,1,0,1,0,0,0,2
area003,大野市,2025-09-20,1871,924,428,2,68,27,4,2,1,0,1,0,0,2
area003,大野市,2025-09-21,2161,1115,669,18,130,28,3,1,0,0,1,0,0,2
area003,大野市,2025-09-22,1642,937,431,6,98,28,0,0,0,0,0,0,0,2
area003,大野市,2025-09-23,1852,1092,513,4,90,29,4,1,0,1,0,0,0,2
