area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review5,review4,review3,review2,review1,location_count
area004,敦賀市,2025-09-01,990,711,153,1,43,2,3.5,2,0,1,1,0,0,5
area004,敦賀市,2025-09-02,1028,627,151,7,57,3,5,1,1,0,0,0,0,5
area004,敦賀市,2025-09-03,1040,640,130,3,59,4,5,1,1,0,0,0,0,5
area004,敦賀市,2025-09-04,1094,666,118,5,72,4,0,0,0,0,0,0,0,5
area004,敦賀市,2025-09-05,1083,724,149,5,73,6,3.5,2,0,1,1,0,0,5
area004,敦賀市,2025-09-06,1507,889,259,2,71,9,4,3,1,1,1,0,0,5
area004,敦賀市,2025-09-07,1508,926,240,6,92,10,3,1,0,0,1,0,0,5
area004,敦賀市,2025-09-08,1065,810,145,3,71,14,4.5,4,3,0,1,0,0,5
area004,敦賀市,2025-09-09,968,852,139,7,53,16,4.5,2,1,1,0,0,0,5
area004,敦賀市,2025-09-10,955,658,131,1,47,18,4,2,0,2,0,0,0,5
area004,敦賀市,2025-09-11,1005,734,165,3,77,20,5,2,2,0,0,0,0,5
area004,敦賀市,2025-09-12,1232,697,191,3,64,21,5,1,1,0,0,0,0,5
area004,敦賀市,2025-09-13,1846,938,295,6,76,23,5,2,2,0,0,0,0,5
area004,敦賀市,2025-09-14,2011,1023,336,7,118,25,4.5,2,1,1,0,0,0,5
area004,敦賀市,2025-09-15,1521,945,227,6,108,28,2.7,3,0,1,1,0,1,5
area004,敦賀市,2025-09-16,1028,701,141,0,59,32,4.8,4,3,1,0,0,0,5
area004,敦賀市,2025-09-17,852,656,136,7,58,33,5,1,1,0,0,0,0,5
area004,敦賀市,2025-09-18,900,735,169,6,70,34,5,1,1,0,0,0,0,5
area004,敦賀市,2025-09-19,989,729,204,4,77,34,0,0,0,0,0,0,0,5
area004,敦賀市,2025-09-20,1550,744,250,4,103,37,5,3,3,0,0,0,0,5
area004,敦賀市,2025-09-21,1609,842,297,10,91,41,3.8,4,0,3,1,0,0,5
area004,敦賀市,2025-09-22,1303,795,207,2,74,44,3.7,3,0,2,1,0,0,5
area004,敦賀市,2025-09-23,1459,1125,274,41,83,47,4.7,3,2,1,0,0,0,5
area004,敦賀市,2025-09-24,1066,809,221,13,63,49,4,2,1,0,1,0,0,5
area004,敦賀市,2025-09-25,855,658,119,7,59,50,2,1,0,0,0,1,0,5
area004,敦賀市,2025-09-26,1041,667,194,8,73,51,3,1,0,0,1,0,0,5
area004,敦賀市,2025-09-27,1359,956,253,3,79,54,4.3,3,2,0,1,0,0,5
area004,敦賀市,2025-09-28,1483,899,266,9,94,56,4,2,1,0,1,0,0,5
area004,敦賀市,2025-09-29,908,716,181,7,60,60,4.5,4,2,2,0,0,0,5
area004,敦賀市,2025-09-30,875,791,157,10,48,60,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-01,760,645,95,1,44,62,3,2,1,0,0,0,1,5
area004,敦賀市,2025-10-02,938,693,147,5,48,63,5,1,1,0,0,0,0,5
area004,敦賀市,2025-10-03,1033,721,161,3,57,63,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-04,1342,820,185,5,66,64,5,1,1,0,0,0,0,5
area004,敦賀市,2025-10-05,1305,799,197,5,69,64,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-06,1053,637,170,6,53,66,4.5,2,1,1,0,0,0,5
area004,敦賀市,2025-10-07,939,668,155,5,67,68,3.5,2,0,1,1,0,0,5
area004,敦賀市,2025-10-08,921,865,151,3,68,68,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-09,959,637,158,5,50,68,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-10,1144,590,192,3,62,69,4,1,0,1,0,0,0,5
area004,敦賀市,2025-10-11,1808,838,298,8,89,71,3,2,0,0,2,0,0,5
area004,敦賀市,2025-10-12,1989,931,395,8,109,78,5,7,7,0,0,0,0,5
area004,敦賀市,2025-10-13,1478,833,253,8,96,80,3.5,2,0,1,1,0,0,5
area004,敦賀市,2025-10-14,850,627,135,2,51,89,4.1,9,3,4,2,0,0,5
area004,敦賀市,2025-10-15,777,536,123,2,58,92,3.3,3,0,2,0,1,0,5
area004,敦賀市,2025-10-16,841,638,132,2,56,93,3,1,0,0,1,0,0,5
area004,敦賀市,2025-10-17,887,662,185,4,38,94,5,1,1,0,0,0,0,5
area004,敦賀市,2025-10-18,1258,666,224,5,56,95,4,1,0,1,0,0,0,5
area004,敦賀市,2025-10-19,1254,687,266,5,87,100,4,5,2,2,0,1,0,5
area004,敦賀市,2025-10-20,1008,626,164,4,69,100,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-21,823,548,114,4,48,100,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-22,790,612,145,7,35,100,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-23,931,601,172,7,60,100,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-24,973,551,163,2,52,101,5,1,1,0,0,0,0,5
area004,敦賀市,2025-10-25,1223,624,225,7,80,102,4,1,0,1,0,0,0,5
area004,敦賀市,2025-10-26,1313,784,202,9,81,104,4.5,2,1,1,0,0,0,5
area004,敦賀市,2025-10-27,894,592,148,1,64,109,3,5,0,2,1,2,0,5
area004,敦賀市,2025-10-28,926,728,190,4,57,111,3.5,2,0,1,1,0,0,5
area004,敦賀市,2025-10-29,1122,731,236,7,51,111,0,0,0,0,0,0,0,5
area004,敦賀市,2025-10-30,980,672,170,8,53,113,5,2,2,0,0,0,0,5
area004,敦賀市,2025-10-31,1025,673,184,2,78,114,3,1,0,0,1,0,0,5
area004,敦賀市,2025-11-01,1590,787,294,10,113,114,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-02,1726,870,378,7,126,116,4.5,2,1,1,0,0,0,5
area004,敦賀市,2025-11-03,1425,828,292,13,61,119,4,3,1,1,1,0,0,5
area004,敦賀市,2025-11-04,1061,695,133,6,54,121,5,2,2,0,0,0,0,5
area004,敦賀市,2025-11-05,904,601,135,8,64,125,3.8,4,2,0,1,1,0,5
area004,敦賀市,2025-11-06,1158,827,146,1,49,126,5,1,1,0,0,0,0,5
area004,敦賀市,2025-11-07,1395,827,272,7,70,127,5,1,1,0,0,0,0,5
area004,敦賀市,2025-11-08,1605,732,298,13,93,128,4,1,0,1,0,0,0,5
area004,敦賀市,2025-11-09,1559,752,210,6,104,133,4,5,2,1,2,0,0,5
area004,敦賀市,2025-11-10,1119,714,200,2,88,134,4,1,0,1,0,0,0,5
area004,敦賀市,2025-11-11,975,605,176,3,52,137,2.7,3,0,1,1,0,1,5
area004,敦賀市,2025-11-12,958,591,167,8,69,141,3.8,4,2,0,1,1,0,5
area004,敦賀市,2025-11-13,989,645,163,4,64,141,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-14,1093,589,173,4,80,143,5,2,2,0,0,0,0,5
area004,敦賀市,2025-11-15,1585,774,332,4,82,143,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-16,1755,753,300,5,83,146,3,3,0,2,0,0,1,5
area004,敦賀市,2025-11-17,1072,594,180,3,75,147,4,1,0,1,0,0,0,5
area004,敦賀市,2025-11-18,1003,609,133,5,68,147,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-19,824,607,134,3,65,150,4,3,1,1,1,0,0,5
area004,敦賀市,2025-11-20,1041,642,138,2,52,151,5,1,1,0,0,0,0,5
area004,敦賀市,2025-11-21,1164,718,207,6,62,156,4.4,5,3,1,1,0,0,5
area004,敦賀市,2025-11-22,2040,689,373,11,110,157,5,1,1,0,0,0,0,5
area004,敦賀市,2025-11-23,2333,831,491,10,107,158,4,1,0,1,0,0,0,5
area004,敦賀市,2025-11-24,1693,615,295,4,102,160,4,2,0,2,0,0,0,5
area004,敦賀市,2025-11-25,968,394,166,5,67,160,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-26,787,445,117,1,30,163,4.7,3,2,1,0,0,0,5
area004,敦賀市,2025-11-27,874,437,142,4,50,165,5,2,2,0,0,0,0,5
area004,敦賀市,2025-11-28,997,462,161,4,52,169,4.3,4,2,1,1,0,0,5
area004,敦賀市,2025-11-29,1929,605,297,4,105,169,0,0,0,0,0,0,0,5
area004,敦賀市,2025-11-30,1493,607,290,9,91,173,3.5,4,0,2,2,0,0,5
area004,敦賀市,2025-12-01,833,403,126,2,56,177,4.3,4,1,3,0,0,0,5
area004,敦賀市,2025-12-02,817,456,135,8,39,177,0,0,0,0,0,0,0,5
area004,敦賀市,2025-12-03,655,419,109,6,57,177,0,0,0,0,0,0,0,5
area004,敦賀市,2025-12-04,796,465,139,6,59,179,5,2,2,0,0,0,0,5
