area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review5,review4,review3,review2,review1,location_count
area006,おおい町,2025-09-01,1233,693,237,8,76,1,4,1,0,1,0,0,0,5
area006,おおい町,2025-09-02,1153,706,231,2,101,3,4,2,0,2,0,0,0,5
area006,おおい町,2025-09-03,1259,666,236,5,96,3,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-04,1079,641,231,7,82,4,2,1,0,0,0,1,0,5
area006,おおい町,2025-09-05,1564,818,524,9,130,4,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-06,3069,1651,1489,39,247,5,3,1,0,0,1,0,0,5
area006,おおい町,2025-09-07,2435,1291,861,17,290,5,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-08,1478,631,423,6,138,5,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-09,1507,689,401,12,145,7,4,2,1,0,1,0,0,5
area006,おおい町,2025-09-10,1353,666,336,8,119,7,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-11,1345,745,349,3,124,7,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-12,1500,810,403,6,178,8,3,1,0,0,1,0,0,5
area006,おおい町,2025-09-13,2453,1272,636,10,300,11,3.7,3,2,0,0,0,1,5
area006,おおい町,2025-09-14,2778,1506,837,19,346,12,4,1,0,1,0,0,0,5
area006,おおい町,2025-09-15,2140,1029,603,21,215,14,4.5,2,1,1,0,0,0,5
area006,おおい町,2025-09-16,1193,657,291,6,114,14,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-17,1143,606,246,6,105,14,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-18,1062,586,228,5,75,16,3.5,2,0,1,1,0,0,5
area006,おおい町,2025-09-19,1277,623,338,7,145,19,3.7,3,0,2,1,0,0,5
area006,おおい町,2025-09-20,1802,867,517,12,194,19,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-21,2090,1082,497,19,211,19,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-22,1698,909,402,7,198,21,4,2,0,2,0,0,0,5
area006,おおい町,2025-09-23,1851,996,477,10,190,24,4.7,3,2,1,0,0,0,5
area006,おおい町,2025-09-24,1108,601,196,8,65,24,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-25,1048,588,207,6,80,24,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-26,1374,692,289,5,112,25,4,1,0,1,0,0,0,5
area006,おおい町,2025-09-27,1870,1029,450,5,167,25,0,0,0,0,0,0,0,5
area006,おおい町,2025-09-28,1768,1048,461,14,152,31,4.3,6,3,2,1,0,0,5
area006,おおい町,2025-09-29,1019,601,201,2,75,32,5,1,1,0,0,0,0,5
area006,おおい町,2025-09-30,1121,594,212,3,65,35,4,3,1,1,1,0,0,5
area006,おおい町,2025-10-01,1027,569,168,5,91,37,3,2,0,0,2,0,0,5
area006,おおい町,2025-10-02,1026,672,200,5,84,39,4.5,2,1,1,0,0,0,5
area006,おおい町,2025-10-03,1216,808,261,5,105,39,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-04,1590,919,311,8,155,39,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-05,1663,980,330,10,130,41,4,2,1,0,1,0,0,5
area006,おおい町,2025-10-06,1050,576,179,2,67,42,4,1,0,1,0,0,0,5
area006,おおい町,2025-10-07,1156,598,191,5,72,43,5,1,1,0,0,0,0,5
area006,おおい町,2025-10-08,1160,573,206,3,88,44,3,1,0,0,1,0,0,5
area006,おおい町,2025-10-09,1186,700,243,10,94,44,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-10,1374,757,295,10,108,47,2.7,3,0,0,2,1,0,5
area006,おおい町,2025-10-11,2562,1141,532,18,222,48,4,1,0,1,0,0,0,5
area006,おおい町,2025-10-12,2909,1390,680,29,259,48,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-13,2047,1129,434,30,195,49,4,1,0,1,0,0,0,5
area006,おおい町,2025-10-14,1335,639,169,8,85,51,3.5,2,0,1,1,0,0,5
area006,おおい町,2025-10-15,1067,553,159,3,66,52,3,1,0,0,1,0,0,5
area006,おおい町,2025-10-16,1021,537,156,14,102,53,4,1,0,1,0,0,0,5
area006,おおい町,2025-10-17,1168,559,233,3,91,54,4,1,0,1,0,0,0,5
area006,おおい町,2025-10-18,1686,786,343,4,140,56,3.5,2,0,1,1,0,0,5
area006,おおい町,2025-10-19,1735,844,330,13,129,56,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-20,1148,648,184,5,70,59,3.7,3,1,1,0,1,0,5
area006,おおい町,2025-10-21,882,496,158,6,63,60,5,1,1,0,0,0,0,5
area006,おおい町,2025-10-22,947,528,161,5,64,61,5,1,1,0,0,0,0,5
area006,おおい町,2025-10-23,1007,531,169,3,66,64,3.3,3,1,1,0,0,1,5
area006,おおい町,2025-10-24,1202,571,237,8,98,66,4.5,2,1,1,0,0,0,5
area006,おおい町,2025-10-25,1638,822,352,12,145,69,3.7,3,1,0,2,0,0,5
area006,おおい町,2025-10-26,1584,935,301,13,140,69,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-27,1030,527,186,13,89,70,3,1,0,0,1,0,0,5
area006,おおい町,2025-10-28,951,552,146,8,59,70,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-29,1041,552,160,6,64,70,0,0,0,0,0,0,0,5
area006,おおい町,2025-10-30,1089,576,176,9,104,71,3,1,0,0,1,0,0,5
area006,おおい町,2025-10-31,1189,627,263,8,112,74,3.3,3,1,1,0,0,1,5
area006,おおい町,2025-11-01,2057,1026,456,7,216,74,0,0,0,0,0,0,0,5
area006,おおい町,2025-11-02,2497,1198,579,12,251,78,4.3,4,2,1,1,0,0,5
area006,おおい町,2025-11-03,1664,902,370,11,172,79,5,1,1,0,0,0,0,5
area006,おおい町,2025-11-04,993,549,167,3,62,80,3,1,0,0,1,0,0,5
area006,おおい町,2025-11-05,914,500,186,10,46,83,4.3,3,2,0,1,0,0,5
area006,おおい町,2025-11-06,950,538,201,6,69,83,0,0,0,0,0,0,0,5
area006,おおい町,2025-11-07,1134,668,228,9,107,84,3,1,0,0,1,0,0,5
area006,おおい町,2025-11-08,1681,977,370,11,115,88,3.5,4,0,2,2,0,0,5
area006,おおい町,2025-11-09,1556,989,328,12,145,89,4,1,0,1,0,0,0,5
area006,おおい町,2025-11-10,930,590,146,4,87,91,4,2,1,0,1,0,0,5
area006,おおい町,2025-11-11,857,587,152,15,93,91,0,0,0,0,0,0,0,5
