area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area007,越前市,2025-09-01,10,11,0,1,0,0,0,0,2
area007,越前市,2025-09-02,3,7,6,1,0,0,0,0,2
area007,越前市,2025-09-03,9,10,0,0,1,0,0,0,2
area007,越前市,2025-09-04,17,12,15,1,0,0,0,0,2
area007,越前市,2025-09-05,17,15,3,1,1,0,0,0,2
area007,越前市,2025-09-06,18,14,0,0,1,0,0,0,2
area007,越前市,2025-09-07,13,16,7,0,1,0,0,0,2
area007,越前市,2025-09-08,11,20,9,1,2,0,0,0,2
area007,越前市,2025-09-09,17,8,4,0,2,0,0,0,2
area007,越前市,2025-09-10,15,15,0,0,2,0,0,0,2
area007,越前市,2025-09-11,10,13,9,1,3,0,0,0,2
area007,越前市,2025-09-12,19,7,20,0,1,0,0,0,2
area007,越前市,2025-09-13,15,9,0,0,0,0,0,0,2
area007,越前市,2025-09-14,7,14,2,0,2,0,0,0,2
area007,越前市,2025-09-15,8,10,0,0,1,0,0,0,2
area007,越前市,2025-09-16,13,21,1,0,0,0,0,0,2
area007,越前市,2025-09-17,18,15,10,2,5,0,0,0,2
area007,越前市,2025-09-18,16,30,4,5,0,0,0,0,2
area007,越前市,2025-09-19,11,9,0,0,0,0,0,0,2
area007,越前市,2025-09-20,16,13,2,1,1,0,0,0,2
area007,越前市,2025-09-21,14,10,1,0,0,0,0,0,2
area007,越前市,2025-09-22,14,14,6,2,1,0,0,0,2
area007,越前市,2025-09-23,9,14,1,0,0,0,0,0,2
area007,越前市,2025-09-24,10,22,9,0,0,0,0,0,2
area007,越前市,2025-09-25,11,14,3,1,1,0,0,0,2
area007,越前市,2025-09-26,13,12,3,2,1,0,0,0,2
area007,越前市,2025-09-27,14,15,0,1,1,0,0,0,2
area007,越前市,2025-09-28,15,13,1,0,0,0,0,0,2
area007,越前市,2025-09-29,11,14,1,1,0,0,0,0,2
area007,越前市,2025-09-30,13,21,0,1,2,0,0,0,2
area007,越前市,2025-10-01,14,19,0,1,0,0,0,0,2
area007,越前市,2025-10-02,14,6,0,0,0,0,0,0,2
area007,越前市,2025-10-03,19,18,7,2,1,0,0,0,2
area007,越前市,2025-10-04,11,17,9,0,2,0,0,0,2
area007,越前市,2025-10-05,8,10,0,0,0,0,0,0,2
area007,越前市,2025-10-06,24,17,1,1,1,0,0,0,2
area007,越前市,2025-10-07,17,18,1,2,0,0,0,0,2
area007,越前市,2025-10-08,18,6,0,0,4,0,0,0,2
area007,越前市,2025-10-09,21,5,2,2,0,0,0,0,2
area007,越前市,2025-10-10,23,16,0,4,1,0,0,0,2
area007,越前市,2025-10-11,26,19,3,0,1,0,0,0,2
area007,越前市,2025-10-12,16,10,8,0,1,0,0,0,2
area007,越前市,2025-10-13,24,9,0,1,1,0,0,0,2
area007,越前市,2025-10-14,15,15,4,2,0,0,0,0,2
area007,越前市,2025-10-15,9,21,1,1,0,0,0,0,2
area007,越前市,2025-10-16,12,21,4,1,1,0,0,0,2
area007,越前市,2025-10-17,14,11,3,1,1,0,0,0,2
area007,越前市,2025-10-18,22,7,0,0,2,0,0,0,2
area007,越前市,2025-10-19,16,7,0,0,0,0,0,0,2
area007,越前市,2025-10-20,17,16,6,2,0,0,0,0,2
area007,越前市,2025-10-21,11,2,1,0,0,0,0,0,2
area007,越前市,2025-10-22,10,18,3,0,0,0,0,0,2
area007,越前市,2025-10-23,14,22,3,0,1,0,0,0,2
area007,越前市,2025-10-24,18,22,4,2,0,0,0,0,2
area007,越前市,2025-10-25,21,11,5,0,0,0,0,0,2
area007,越前市,2025-10-26,19,10,5,0,2,0,0,0,2
area007,越前市,2025-10-27,3,11,8,0,0,0,0,0,2
area007,越前市,2025-10-28,10,18,0,2,0,0,0,0,2
area007,越前市,2025-10-29,16,2,3,0,1,0,0,0,2
area007,越前市,2025-10-30,12,21,0,0,3,0,0,0,2
area007,越前市,2025-10-31,14,11,9,1,0,0,0,0,2
area007,越前市,2025-11-01,20,18,2,0,1,0,0,0,2
area007,越前市,2025-11-02,20,8,0,0,1,0,0,0,2
area007,越前市,2025-11-03,7,6,0,2,1,0,0,0,2
area007,越前市,2025-11-04,16,14,1,1,0,0,0,0,2
area007,越前市,2025-11-05,10,13,5,1,1,0,0,0,2
area007,越前市,2025-11-06,14,26,2,2,3,0,0,0,2
area007,越前市,2025-11-07,15,24,0,0,0,0,0,0,2
area007,越前市,2025-11-08,20,15,6,0,0,0,0,0,2
area007,越前市,2025-11-09,17,11,2,0,0,0,0,0,2
area007,越前市,2025-11-10,13,13,0,1,0,0,0,0,2
area007,越前市,2025-11-11,13,9,3,0,0,0,0,0,2
area007,越前市,2025-11-12,15,27,1,2,4,0,0,0,2
area007,越前市,2025-11-13,13,17,0,1,0,0,0,0,2
area007,越前市,2025-11-14,8,11,0,2,0,0,0,0,2
area007,越前市,2025-11-15,11,11,3,0,3,0,0,0,2
area007,越前市,2025-11-16,15,10,6,0,0,0,0,0,2
area007,越前市,2025-11-17,15,9,0,1,1,0,0,0,2
area007,越前市,2025-11-18,16,17,4,0,0,0,0,0,2
area007,越前市,2025-11-19,8,15,6,0,1,0,0,0,2
area007,越前市,2025-11-20,13,14,13,1,0,0,0,0,2
area007,越前市,2025-11-21,20,17,8,0,1,0,0,0,2
area007,越前市,2025-11-22,24,7,8,0,3,0,0,0,2
area007,越前市,2025-11-23,38,23,7,0,1,0,0,0,2
area007,越前市,2025-11-24,21,14,11,0,0,0,0,0,2
area007,越前市,2025-11-25,20,8,2,0,0,0,0,0,2
area007,越前市,2025-11-26,11,14,2,2,0,0,0,0,2
area007,越前市,2025-11-27,14,7,1,0,1,0,0,0,2
area007,越前市,2025-11-28,14,6,14,0,1,0,0,0,2
area007,越前市,2025-11-29,16,5,2,0,0,0,0,0,2
area007,越前市,2025-11-30,12,12,10,0,3,0,0,0,2
area007,越前市,2025-12-01,23,12,0,0,0,0,0,0,2
area007,越前市,2025-12-02,12,10,3,0,0,0,0,0,2
area007,越前市,2025-12-03,6,13,14,0,0,0,0,0,2
area007,越前市,2025-12-04,15,11,7,0,0,0,0,0,2
area007,越前市,2025-12-05,12,20,1,0,1,0,0,0,2
area007,越前市,2025-12-06,8,14,0,1,2,0,0,0,2
area007,越前市,2025-12-07,13,9,0,0,0,0,0,0,2
area007,越前市,2025-12-08,8,18,1,1,0,0,0,0,2
