area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area009,福井市,2025-09-01,5,4,0,0,0,0,0,0,1
area009,福井市,2025-09-02,1,2,0,0,0,0,0,0,1
area009,福井市,2025-09-03,2,3,2,0,0,0,0,0,1
area009,福井市,2025-09-04,3,9,0,0,0,0,0,0,1
area009,福井市,2025-09-05,5,6,0,0,0,0,0,0,1
area009,福井市,2025-09-06,1,2,0,0,0,0,0,0,1
area009,福井市,2025-09-07,0,7,6,0,0,0,0,0,1
area009,福井市,2025-09-08,3,3,4,0,0,0,0,0,1
area009,福井市,2025-09-09,1,4,1,0,0,0,0,0,1
area009,福井市,2025-09-10,0,5,1,0,0,0,0,0,1
area009,福井市,2025-09-11,3,0,0,0,0,0,0,0,1
area009,福井市,2025-09-12,3,1,0,0,0,0,0,0,1
area009,福井市,2025-09-13,1,5,2,0,0,0,0,0,1
area009,福井市,2025-09-14,1,0,8,0,0,0,0,0,1
area009,福井市,2025-09-15,3,2,0,0,0,0,0,0,1
area009,福井市,2025-09-16,2,5,3,0,0,0,0,0,1
area009,福井市,2025-09-17,0,1,0,0,0,0,0,0,1
area009,福井市,2025-09-18,0,2,0,0,0,0,0,0,1
area009,福井市,2025-09-19,1,4,1,0,0,0,0,0,1
area009,福井市,2025-09-20,3,0,0,0,0,0,0,0,1
area009,福井市,2025-09-21,1,0,7,0,0,0,0,0,1
area009,福井市,2025-09-22,3,3,2,0,1,0,0,0,1
area009,福井市,2025-09-23,0,0,1,0,0,0,0,0,1
area009,福井市,2025-09-24,0,0,0,0,0,0,0,0,1
area009,福井市,2025-09-25,1,0,2,0,0,0,0,0,1
area009,福井市,2025-09-26,2,2,5,0,0,0,0,0,1
area009,福井市,2025-09-27,3,5,0,0,0,0,0,0,1
area009,福井市,2025-09-28,1,1,0,0,0,0,0,0,1
area009,福井市,2025-09-29,5,4,2,0,0,0,0,0,1
area009,福井市,2025-09-30,0,2,0,0,0,0,0,0,1
area009,福井市,2025-10-01,0,2,1,0,0,0,0,0,1
area009,福井市,2025-10-02,1,3,0,0,0,0,0,0,1
area009,福井市,2025-10-03,1,3,0,0,0,0,0,0,1
area009,福井市,2025-10-04,1,0,0,0,0,0,0,0,1
area009,福井市,2025-10-05,1,1,1,0,1,0,0,0,1
area009,福井市,2025-10-06,3,2,2,0,0,0,0,0,1
area009,福井市,2025-10-07,1,2,0,0,0,0,0,0,1
area009,福井市,2025-10-08,1,1,2,1,0,0,0,0,1
area009,福井市,2025-10-09,3,6,5,0,0,0,0,0,1
area009,福井市,2025-10-10,1,4,1,0,0,0,0,0,1
area009,福井市,2025-10-11,1,2,2,0,0,0,0,0,1
area009,福井市,2025-10-12,2,8,0,0,1,0,0,0,1
area009,福井市,2025-10-13,0,6,0,0,0,0,0,0,1
area009,福井市,2025-10-14,1,3,0,0,0,0,0,0,1
area009,福井市,2025-10-15,1,5,2,0,0,0,0,0,1
area009,福井市,2025-10-16,1,4,0,0,0,0,0,0,1
area009,福井市,2025-10-17,1,4,11,0,0,0,0,0,1
area009,福井市,2025-10-18,3,1,2,0,0,0,0,0,1
area009,福井市,2025-10-19,1,2,0,0,0,0,0,0,1
area009,福井市,2025-10-20,2,2,0,0,0,0,0,0,1
area009,福井市,2025-10-21,4,4,0,0,0,0,0,0,1
area009,福井市,2025-10-22,2,9,4,0,0,0,0,0,1
area009,福井市,2025-10-23,5,2,0,0,0,0,0,0,1
area009,福井市,2025-10-24,0,6,0,0,0,0,0,0,1
area009,福井市,2025-10-25,0,2,0,0,0,0,0,0,1
area009,福井市,2025-10-26,0,2,0,0,0,0,0,0,1
area009,福井市,2025-10-27,1,6,0,0,0,0,0,0,1
area009,福井市,2025-10-28,1,6,2,0,0,0,0,0,1
area009,福井市,2025-10-29,2,6,1,0,0,0,0,0,1
area009,福井市,2025-10-30,1,2,0,0,0,0,0,0,1
area009,福井市,2025-10-31,2,4,0,0,0,0,0,0,1
area009,福井市,2025-11-01,1,1,0,0,0,0,0,0,1
area009,福井市,2025-11-02,2,4,0,0,0,0,0,0,1
