area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area010,小浜市,2025-09-01,112,23,2,0,6,0,0,0,3
area010,小浜市,2025-09-02,149,25,4,0,6,0,0,0,3
area010,小浜市,2025-09-03,134,25,13,0,4,0,0,0,3
area010,小浜市,2025-09-04,146,22,12,0,6,0,0,0,3
area010,小浜市,2025-09-05,125,30,20,0,6,0,0,0,3
area010,小浜市,2025-09-06,191,32,5,0,6,0,0,0,3
area010,小浜市,2025-09-07,186,29,21,0,3,0,0,0,3
area010,小浜市,2025-09-08,155,40,4,0,10,0,0,0,3
area010,小浜市,2025-09-09,119,30,8,0,4,0,0,0,3
area010,小浜市,2025-09-10,122,27,3,0,4,0,0,0,3
area010,小浜市,2025-09-11,112,23,11,0,3,0,0,0,3
area010,小浜市,2025-09-12,155,36,10,0,9,0,0,0,3
area010,小浜市,2025-09-13,195,40,6,0,9,0,0,0,3
area010,小浜市,2025-09-14,232,45,12,1,13,0,0,0,3
area010,小浜市,2025-09-15,164,43,20,1,6,0,0,0,3
area010,小浜市,2025-09-16,83,28,3,0,3,0,0,0,3
area010,小浜市,2025-09-17,84,21,7,0,8,0,0,0,3
area010,小浜市,2025-09-18,85,25,4,0,2,0,0,0,3
area010,小浜市,2025-09-19,134,35,9,0,9,0,0,0,3
area010,小浜市,2025-09-20,178,33,13,0,10,0,0,0,3
area010,小浜市,2025-09-21,185,46,35,1,8,0,0,0,3
area010,小浜市,2025-09-22,156,48,9,0,7,0,0,0,3
area010,小浜市,2025-09-23,188,45,5,0,5,0,0,0,3
area010,小浜市,2025-09-24,138,16,8,1,4,0,0,0,3
area010,小浜市,2025-09-25,126,26,4,0,9,0,0,0,3
area010,小浜市,2025-09-26,115,26,11,0,7,0,0,0,3
area010,小浜市,2025-09-27,208,50,13,1,6,0,0,0,3
area010,小浜市,2025-09-28,189,49,8,3,9,0,0,0,3
area010,小浜市,2025-09-29,91,34,5,0,4,0,0,0,3
area010,小浜市,2025-09-30,105,41,7,0,6,0,0,0,3
area010,小浜市,2025-10-01,125,31,29,1,4,0,0,0,3
area010,小浜市,2025-10-02,122,26,6,0,7,0,0,0,3
area010,小浜市,2025-10-03,131,34,17,0,8,0,0,0,3
area010,小浜市,2025-10-04,168,37,8,0,7,0,0,0,3
area010,小浜市,2025-10-05,174,28,6,0,4,0,0,0,3
