area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review5,review4,review3,review2,review1,location_count
area012,若狭町,2025-09-01,1045,506,95,4,30,3,3.3,3,0,2,0,1,0,2
area012,若狭町,2025-09-02,934,496,72,4,37,6,4.7,3,2,1,0,0,0,2
area012,若狭町,2025-09-03,984,471,95,7,31,6,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-04,925,464,90,2,17,6,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-05,970,547,86,0,32,7,4,1,0,1,0,0,0,2
area012,若狭町,2025-09-06,1565,734,169,8,36,9,4,2,0,2,0,0,0,2
area012,若狭町,2025-09-07,1639,719,166,2,43,10,5,1,1,0,0,0,0,2
area012,若狭町,2025-09-08,977,430,93,2,36,14,4.5,4,3,0,1,0,0,2
area012,若狭町,2025-09-09,1012,476,105,2,36,16,4.5,2,1,1,0,0,0,2
area012,若狭町,2025-09-10,992,500,95,5,20,16,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-11,965,528,92,4,36,16,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-12,1081,631,98,4,21,16,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-13,1755,855,159,7,42,16,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-14,1911,921,192,4,38,17,1,1,0,0,0,0,1,2
area012,若狭町,2025-09-15,1585,755,173,6,37,19,5,2,2,0,0,0,0,2
area012,若狭町,2025-09-16,921,499,94,2,39,21,3.5,2,0,1,1,0,0,2
area012,若狭町,2025-09-17,860,487,91,6,34,22,4,1,0,1,0,0,0,2
area012,若狭町,2025-09-18,853,519,76,4,35,23,2,1,0,0,0,1,0,2
area012,若狭町,2025-09-19,958,477,111,3,30,24,3,1,0,0,1,0,0,2
area012,若狭町,2025-09-20,1516,653,143,1,35,24,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-21,1783,1411,220,3,53,25,3,1,0,0,1,0,0,2
area012,若狭町,2025-09-22,1369,1146,156,4,47,25,0,0,0,0,0,0,0,2
area012,若狭町,2025-09-23,1551,1277,168,9,48,28,3.3,3,0,1,2,0,0,2
area012,若狭町,2025-09-24,1031,900,148,1,40,30,4.5,2,1,1,0,0,0,2
area012,若狭町,2025-09-25,955,789,87,11,27,31,2,1,0,0,0,1,0,2
area012,若狭町,2025-09-26,1067,934,108,2,43,32,3,1,0,0,1,0,0,2
area012,若狭町,2025-09-27,1620,1250,223,12,44,34,3,2,0,1,0,1,0,2
area012,若狭町,2025-09-28,1558,1238,190,7,42,36,4,2,0,2,0,0,0,2
area012,若狭町,2025-09-29,1017,946,99,3,33,37,5,1,1,0,0,0,0,2
