date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,review_count_by_rating_1,review_count_by_rating_2,review_count_by_rating_3,review_count_by_rating_4,review_count_by_rating_5
2025-09-01,1497,743,204,6,95,2,4.5,2,0,0,0,1,1
2025-09-02,1521,799,209,8,74,2,0,0,0,0,0,0,0
2025-09-03,1392,746,167,13,88,2,0,0,0,0,0,0,0
2025-09-04,1352,684,161,8,75,4,4.5,2,0,0,0,1,1
2025-09-05,1412,766,160,6,85,5,5,1,0,0,0,0,1
2025-09-06,2480,1188,400,30,127,9,3.5,4,1,0,0,2,1
2025-09-07,2263,1105,269,7,122,12,4.3,3,0,0,0,2,1
2025-09-08,1375,713,138,5,68,13,5,1,0,0,0,0,1
2025-09-09,1459,754,146,9,80,14,3,1,0,0,1,0,0
2025-09-10,1367,666,142,1,78,14,0,0,0,0,0,0,0
2025-09-11,1313,670,123,2,70,14,0,0,0,0,0,0,0
2025-09-12,1444,760,143,6,51,14,0,0,0,0,0,0,0
2025-09-13,2249,1123,228,19,139,15,5,1,0,0,0,0,1
2025-09-14,2457,1193,236,7,148,16,4,1,0,0,0,1,0
2025-09-15,2041,1003,231,14,106,19,4.3,3,0,0,1,0,2
2025-09-16,1288,697,136,7,92,21,3,2,1,0,0,0,1
2025-09-17,1143,657,112,8,50,22,5,1,0,0,0,0,1
2025-09-18,1125,617,103,5,60,25,4.7,3,0,0,0,1,2
2025-09-19,1256,533,133,3,39,25,0,0,0,0,0,0,0
2025-09-20,1722,721,156,11,83,28,4.3,3,0,0,0,2,1
2025-09-21,2062,927,261,10,130,31,3.3,3,0,1,0,2,0
2025-09-22,1598,796,191,7,114,33,4,2,0,0,1,0,1
2025-09-23,1777,899,178,11,109,35,4.5,2,0,0,0,1,1
2025-09-24,1164,612,119,9,78,35,0,0,0,0,0,0,0
2025-09-25,1125,581,98,13,45,35,0,0,0,0,0,0,0
2025-09-26,1322,611,155,6,70,37,4,2,0,0,0,2,0
2025-09-27,1903,914,293,8,150,40,4.3,3,0,0,0,2,1
2025-09-28,1767,919,218,9,90,41,3,1,0,0,1,0,0
2025-09-29,1157,639,106,4,71,41,0,0,0,0,0,0,0
2025-09-30,1224,604,87,5,79,42,2,1,0,1,0,0,0
2025-10-01,1046,596,112,14,71,43,5,1,0,0,0,0,1
2025-10-02,1162,725,102,12,61,43,0,0,0,0,0,0,0
2025-10-03,1210,762,112,1,58,43,0,0,0,0,0,0,0
2025-10-04,1458,852,139,5,76,43,0,0,0,0,0,0,0
2025-10-05,1595,822,141,12,72,49,2.3,6,1,2,3,0,0
2025-10-06,1299,621,111,5,59,49,0,0,0,0,0,0,0
2025-10-07,1327,639,140,12,67,51,3,2,0,0,2,0,0
2025-10-08,1363,687,122,7,69,51,0,0,0,0,0,0,0
2025-10-09,1469,703,172,8,96,51,0,0,0,0,0,0,0
2025-10-10,1544,671,162,11,90,53,3,2,0,0,2,0,0
2025-10-11,2727,1011,351,13,134,53,0,0,0,0,0,0,0
2025-10-12,2890,1111,301,13,181,55,4.5,2,0,0,0,1,1
2025-10-13,2038,753,189,18,124,57,4,2,0,0,1,0,1
2025-10-14,1344,553,94,6,69,58,2,1,0,1,0,0,0
2025-10-15,1161,498,85,7,52,59,5,1,0,0,0,0,1
2025-10-16,1114,525,109,2,53,62,2.3,3,1,0,2,0,0
2025-10-17,1146,500,124,7,51,63,4,1,0,0,0,1,0
2025-10-18,1512,582,137,5,80,63,0,0,0,0,0,0,0
2025-10-19,1639,649,131,6,60,65,3.5,2,0,0,1,1,0
2025-10-20,1306,528,111,3,69,65,0,0,0,0,0,0,0
2025-10-21,1174,521,151,6,78,65,0,0,0,0,0,0,0
2025-10-22,1062,466,103,8,47,66,2,1,0,1,0,0,0
2025-10-23,1048,463,123,5,58,68,3,2,0,1,0,1,0
2025-10-24,1102,507,119,10,65,69,4,1,0,0,0,1,0
2025-10-25,1487,625,113,9,61,70,4,1,0,0,0,1,0
2025-10-26,1459,722,135,8,81,71,4,1,0,0,0,1,0
2025-10-27,1084,518,103,8,57,74,5,3,0,0,0,0,3
2025-10-28,982,503,116,4,58,76,2.5,2,1,0,0,1,0
2025-10-29,1105,579,89,7,64,77,5,1,0,0,0,0,1
2025-10-30,1017,496,94,2,69,79,5,2,0,0,0,0,2
2025-10-31,1097,481,67,13,50,79,0,0,0,0,0,0,0
2025-11-01,1782,759,156,4,98,81,4.5,2,0,0,0,1,1
2025-11-02,2117,865,206,5,121,83,4.5,2,0,0,0,1,1
2025-11-03,1433,689,131,5,93,86,4.3,3,0,0,1,0,2
2025-11-04,1042,544,95,5,61,88,2,2,0,2,0,0,0
2025-11-05,1033,518,83,4,56,89,4,1,0,0,0,1,0
2025-11-06,1028,523,102,5,58,91,4,2,0,0,0,2,0
2025-11-07,1026,534,84,5,56,92,5,1,0,0,0,0,1
2025-11-08,1584,786,163,7,85,95,4.7,3,0,0,0,1,2
2025-11-09,1424,711,114,8,80,97,4.5,2,0,0,0,1,1
2025-11-10,989,538,99,5,71,97,0,0,0,0,0,0,0
2025-11-11,1052,554,114,9,67,97,0,0,0,0,0,0,0
2025-11-12,966,502,103,16,56,97,0,0,0,0,0,0,0
2025-11-13,971,466,87,5,55,97,0,0,0,0,0,0,0
2025-11-14,1001,498,120,7,56,101,3.8,4,0,0,2,1,1
2025-11-15,1451,728,160,16,110,103,3.5,2,0,0,1,1,0
2025-11-16,1502,661,130,7,80,104,5,1,0,0,0,0,1
2025-11-17,1001,497,77,7,49,105,3,1,0,0,1,0,0
2025-11-18,902,480,80,13,56,109,3.3,4,0,1,1,2,0
2025-11-19,957,455,88,12,65,109,0,0,0,0,0,0,0
2025-11-20,1026,466,97,10,57,109,0,0,0,0,0,0,0
2025-11-21,1177,563,90,4,78,110,3,1,0,0,1,0,0
2025-11-22,2031,779,262,10,183,112,3,2,0,0,2,0,0
2025-11-23,2108,902,272,17,129,113,5,1,0,0,0,0,1
2025-11-24,1246,549,135,8,75,116,3.7,3,1,0,0,0,2
2025-11-25,767,353,80,5,38,117,5,1,0,0,0,0,1
2025-11-26,739,347,55,7,42,117,0,0,0,0,0,0,0
2025-11-27,757,319,103,7,54,119,4,2,0,0,0,2,0
2025-11-28,910,361,102,7,61,121,5,2,0,0,0,0,2
2025-11-29,1299,619,138,18,101,123,3.5,2,0,0,1,1,0
2025-11-30,1077,502,147,6,68,125,4.5,2,0,0,0,1,1
2025-12-01,645,284,75,1,39,126,4,1,0,0,0,1,0
2025-12-02,766,319,82,7,52,127,5,1,0,0,0,0,1
2025-12-03,630,279,77,9,39,127,0,0,0,0,0,0,0
2025-12-04,585,370,48,3,42,127,0,0,0,0,0,0,0
2025-12-05,580,429,60,8,43,129,4.5,2,0,0,0,1,1
2025-12-06,879,567,95,7,54,129,0,0,0,0,0,0,0
2025-12-07,840,542,93,6,59,130,5,1,0,0,0,0,1
2025-12-08,597,436,51,5,49,132,3.5,2,0,1,0,0,1
