date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,area_count,location_count
2025-09-01,9526,5246,1498,42,570,0,0,0,12,44
2025-09-02,9312,4930,1454,43,531,0,0,0,12,44
2025-09-03,9307,4849,1435,50,598,0,0,0,12,44
2025-09-04,8740,4601,1388,32,501,0,0,0,12,44
2025-09-05,9536,5303,1741,43,542,0,0,0,12,44
2025-09-06,14978,7340,3683,117,873,0,0,0,12,44
2025-09-07,14448,7209,3022,78,950,0,0,0,12,44
2025-09-08,9446,4975,1599,46,590,0,0,0,12,44
2025-09-09,9846,5277,1517,58,607,0,0,0,12,44
2025-09-10,8980,4649,1398,27,479,0,0,0,12,44
2025-09-11,9042,4912,1510,44,569,0,0,0,12,44
2025-09-12,10048,5370,1714,44,596,0,0,0,12,44
2025-09-13,15565,7378,2656,78,980,0,0,0,12,44
2025-09-14,17400,8512,3268,89,1071,0,0,0,12,44
2025-09-15,13967,7193,2669,79,820,0,0,0,12,44
2025-09-16,8752,5204,1479,37,529,0,0,0,12,44
2025-09-17,8256,4730,1379,51,487,0,0,0,12,44
2025-09-18,7914,4823,1262,41,444,0,0,0,12,44
2025-09-19,8935,4790,1588,37,516,0,0,0,12,44
2025-09-20,12874,5644,2220,65,720,0,0,0,12,44
2025-09-21,14895,7412,2967,92,939,0,0,0,12,44
2025-09-22,11839,7366,2093,54,811,0,0,0,12,44
2025-09-23,13183,7308,2481,98,809,0,0,0,12,44
2025-09-24,8897,5136,1545,65,451,0,0,0,12,44
2025-09-25,8320,4696,1324,76,455,0,0,0,12,44
2025-09-26,9298,5158,1735,41,566,0,0,0,12,44
2025-09-27,13634,7171,3048,69,854,0,0,0,12,44
2025-09-28,14061,7479,3288,81,854,0,0,0,12,44
2025-09-29,8789,5335,1436,37,509,0,0,0,12,44
2025-09-30,8592,5259,1298,48,482,0,0,0,12,44
2025-10-01,7836,4929,1221,45,499,0,0,0,12,44
2025-10-02,8289,5368,1315,54,468,0,0,0,12,44
2025-10-03,9046,5874,1429,38,527,0,0,0,12,44
2025-10-04,11492,6253,1747,57,648,0,0,0,12,44
2025-10-05,12209,6561,1915,49,703,0,0,0,12,44
2025-10-06,9149,4917,1403,45,476,0,0,0,12,44
2025-10-07,9021,5141,1414,45,460,0,0,0,12,44
2025-10-08,9407,6094,1438,28,557,0,0,0,12,44
2025-10-09,9333,5725,1552,51,543,0,0,0,12,44
2025-10-10,9758,5610,1832,48,593,0,0,0,12,44
2025-10-11,16697,8066,3048,91,894,0,0,0,12,44
2025-10-12,19202,9088,3921,129,1170,0,0,0,12,44
2025-10-13,14325,7417,2724,88,889,0,0,0,12,44
2025-10-14,8592,4949,1348,47,484,0,0,0,12,44
2025-10-15,7900,4594,1228,31,471,0,0,0,12,44
2025-10-16,7777,4730,1335,47,480,0,0,0,12,44
2025-10-17,8561,4843,1611,42,511,0,0,0,12,44
2025-10-18,11359,5396,2087,57,684,0,0,0,12,44
2025-10-19,12163,5821,2405,59,712,0,0,0,12,44
2025-10-20,9001,5024,1464,50,535,0,0,0,12,44
2025-10-21,7591,4447,1325,31,489,0,0,0,12,44
2025-10-22,7634,4550,1275,54,436,0,0,0,12,44
2025-10-23,8184,4749,1417,46,458,0,0,0,12,44
2025-10-24,8634,5007,1511,50,495,0,0,0,12,44
2025-10-25,11510,5976,2056,81,714,0,0,0,12,44
2025-10-26,11598,6314,1883,63,712,0,0,0,12,44
2025-10-27,8476,4797,1369,56,528,0,0,0,12,44
2025-10-28,7860,4734,1299,34,481,0,0,0,12,44
2025-10-29,9103,5277,1484,50,467,0,0,0,12,44
2025-10-30,8885,5635,1441,60,508,0,0,0,12,44
2025-10-31,9073,5321,1434,35,491,0,0,0,12,44
